RegionName,StateName,LatestZHVI,2023,AffordabilityRatio,Metro
"Ogden, UT",UT,507972.9586068764,59122.0,8.591944768561218,"Ogden, UT, UT"
"Modesto, CA",CA,463165.0518601487,53058.0,8.729410303067374,"Modesto, CA, CA"
"Stockton, CA",CA,528547.7625156116,59361.0,8.90395651211421,"Stockton, CA, CA"
"Provo, UT",UT,536994.2585062673,57531.0,9.333998340134317,"Provo, UT, UT"
"San Jose, CA",CA,1547793.9020854677,148036.0,10.455523670495472,"San Jose, CA, CA"
"Riverside, CA",CA,579877.1194370721,52553.0,11.034139239188478,"Riverside, CA, CA"
"Oxnard, CA",CA,872450.4776375741,78091.0,11.172228267502966,"Oxnard, CA, CA"
"San Diego, CA",CA,916745.7451016452,79122.0,11.586483469852194,"San Diego, CA, CA"
"Los Angeles, CA",CA,945428.02253813,80898.0,11.686667439715816,"Los Angeles, CA, CA"
"Urban Honolulu, HI",HI,838797.075489209,69893.0,12.001159994408725,"Urban Honolulu, HI, HI"
