RegionName,StateName,appreciation_percentage,LatestZHVI
"Wichita, KS",KS,119.43521287154104,216128.65715771887
"Chicago, IL",IL,118.61834937611559,340732.6805689127
"Little Rock, AR",AR,114.1221337946056,224528.29349071835
"Akron, OH",OH,111.65802768884143,231526.47549466192
"Detroit, MI",MI,110.47719207366158,262145.2307989494
"Memphis, TN",TN,109.54127414521237,241603.438153632
"Cleveland, OH",OH,104.00889286412429,242875.2163030349
"Jackson, MS",MS,91.14398101247471,204224.4677731562
"New Orleans, LA",LA,82.22668106410718,254789.19275288525
"Baton Rouge, LA",LA,77.38506738794875,243733.29871157897
