RegionName,StateName,appreciation_percentage,LatestZHVI
"San Jose, CA",CA,327.64167706700664,1547793.9020854677
"San Diego, CA",CA,327.1705663535117,916745.7451016452
"Los Angeles, CA",CA,324.6820932540153,945428.02253813
"Riverside, CA",CA,319.82969610865035,579877.1194370721
"Miami, FL",FL,313.1095294578608,472130.33937965817
"San Francisco, CA",CA,282.01895839481233,1099606.9680540804
"Urban Honolulu, HI",HI,275.4664931271415,838797.075489209
"Bakersfield, CA",CA,265.0049980380912,360371.9275998792
"Providence, RI",RI,255.73277079378025,505220.2090054694
"Fresno, CA",CA,254.5408353839853,404288.3910604653
