ZillowRegionName,BEARegionName,SizeRank,2021,2022,2023,Income Rank in US,% change (2021-2022),% change (2022-2023)
United States,United States,0,64460,66244,69810,--,2.8,5.4
"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",1,"83,995","86,058","91,448",12,2.5,6.3
"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA",2,"75,332","76,760","80,898",24,1.9,5.4
"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",3,"71,206","73,317","77,429",37,3.0,5.6
"Dallas, TX","Dallas-Fort Worth-Arlington, TX",4,"67,666","70,887","74,165",48,4.8,4.6
"Houston, TX","Houston-The Woodlands-Sugar Land, TX",5,"65,196","68,808","72,453",54,5.5,5.3
"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",6,"81,121","84,517","89,396",14,4.2,5.8
"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7,"71,896","74,485","78,761",31,3.6,5.7
"Miami, FL","Miami-Fort Lauderdale-Pompano Beach, FL",8,"73,220","78,610","84,302",19,7.4,7.2
"Atlanta, GA","Atlanta-Sandy Springs-Alpharetta, GA",9,"63,281","64,840","68,027",85,2.5,4.9
"Boston, MA","Boston-Cambridge-Newton, MA-NH",10,"92,742","95,926","100,880",7,3.4,5.2
"Phoenix, AZ","Phoenix-Mesa-Chandler, AZ",11,"60,086","62,555","66,365",96,4.1,6.1
"San Francisco, CA","San Francisco-Oakland-Berkeley, CA",12,"123,973","123,152","130,730",5,-0.7,6.2
"Riverside, CA","Riverside-San Bernardino-Ontario, CA",13,"50,700","49,908","52,553",290,-1.6,5.3
"Detroit, MI","Detroit-Warren-Dearborn, MI",14,"60,724","62,545","66,098",98,3.0,5.7
"Seattle, WA","Seattle-Tacoma-Bellevue, WA",15,"89,358","92,291","99,339",9,3.3,7.6
"Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI",16,"73,203","76,155","79,654",27,4.0,4.6
"San Diego, CA","San Diego-Chula Vista-Carlsbad, CA",17,"73,084","74,476","79,122",29,1.9,6.2
"Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",18,"58,124","59,961","63,789",121,3.2,6.4
"Denver, CO","Denver-Aurora-Lakewood, CO",19,"79,446","86,141","89,297",15,8.4,3.7
"Baltimore, MD","Baltimore-Columbia-Towson, MD",20,"70,211","72,580","76,923",38,3.4,6.0
